Production_ID,Date,Production_Line,Shift,Machine_ID,Operator_ID,Product,Planned_Qty,Produced_Qty,Scrap_Qty,Downtime_Minutes,Downtime_Reason,Efficiency_Percent,Scrap_Rate_Percent,Good_Qty,Production_Loss,Downtime_Hours,Month,Quarter,Week,Day_Name,Efficiency_Category
PRD00001,2025-04-13,Rolling Line,B,MC015,OP013,GP Coil,685,671,14,55,Scheduled Maintenance,93.4,2.04,657,14,0.92,April,2,15,Sunday,Medium
PRD00002,2025-12-15,Cut-To-Length Line,C,MC006,OP009,CR Sheet,501,488,13,0,Scheduled Maintenance,92.0,2.59,475,13,0.0,December,4,51,Monday,Medium
PRD00003,2025-09-28,Pickling Line,C,MC007,OP010,HR Coil,1903,1829,74,61,Material Shortage,92.0,3.89,1755,74,1.02,September,3,39,Sunday,Medium
PRD00004,2025-04-17,Cut-To-Length Line,A,MC004,OP001,HR Sheet,1872,1793,79,84,Quality Inspection,98.4,4.22,1714,79,1.4,April,2,16,Thursday,High
PRD00005,2025-03-13,Finishing Line,C,MC004,OP006,GI Sheet,1924,1867,57,54,Mechanical Failure,91.6,2.96,1810,57,0.9,March,1,11,Thursday,Medium
PRD00006,2025-07-08,Slitting Line,C,MC001,OP030,HR Coil,1925,1887,38,52,Material Shortage,91.9,1.97,1849,38,0.87,July,3,28,Tuesday,Medium
PRD00007,2025-01-21,Pickling Line,A,MC011,OP006,Steel Plate,1514,1427,87,54,Tool Change,91.8,5.75,1340,87,0.9,January,1,4,Tuesday,Medium
PRD00008,2025-04-13,Pickling Line,C,MC005,OP002,GI Sheet,943,920,23,55,Power Failure,92.1,2.44,897,23,0.92,April,2,15,Sunday,Medium
PRD00009,2025-05-02,Finishing Line,A,MC002,OP026,HR Sheet,1409,1351,58,11,Scheduled Maintenance,95.3,4.12,1293,58,0.18,May,2,18,Friday,High
PRD00010,2025-08-03,Finishing Line,A,MC005,OP016,HR Sheet,845,822,23,16,Quality Inspection,99.0,2.72,799,23,0.27,August,3,31,Sunday,High
PRD00011,2025-11-27,Finishing Line,B,MC005,OP025,HR Coil,951,939,12,14,Quality Inspection,93.6,1.26,927,12,0.23,November,4,48,Thursday,Medium
PRD00012,2025-03-29,Slitting Line,C,MC020,OP005,HR Coil,1785,1759,26,27,Quality Inspection,89.0,1.46,1733,26,0.45,March,1,13,Saturday,Low
PRD00013,2025-04-10,Cut-To-Length Line,A,MC013,OP014,Steel Strip,899,857,42,64,Scheduled Maintenance,96.1,4.67,815,42,1.07,April,2,15,Thursday,High
PRD00014,2025-12-26,Slitting Line,C,MC012,OP016,GP Coil,2376,2341,35,63,Material Shortage,91.9,1.47,2306,35,1.05,December,4,52,Friday,Medium
PRD00015,2025-06-01,Rolling Line,B,MC010,OP009,GI Sheet,926,889,37,22,Tool Change,99.0,4.0,852,37,0.37,June,2,22,Sunday,High
PRD00016,2025-05-11,Finishing Line,C,MC013,OP011,CR Coil,674,660,14,20,Scheduled Maintenance,91.4,2.08,646,14,0.33,May,2,19,Sunday,Medium
PRD00017,2025-05-30,Rolling Line,C,MC009,OP016,HR Sheet,1723,1697,26,106,Scheduled Maintenance,89.9,1.51,1671,26,1.77,May,2,22,Friday,Low
PRD00018,2025-11-05,Finishing Line,C,MC005,OP020,CR Sheet,1914,1852,62,24,Material Shortage,95.2,3.24,1790,62,0.4,November,4,45,Wednesday,High
PRD00019,2025-09-15,Rolling Line,C,MC006,OP012,HR Sheet,1262,1228,34,97,Mechanical Failure,88.6,2.69,1194,34,1.62,September,3,38,Monday,Low
PRD00020,2025-12-10,Finishing Line,C,MC017,OP015,Steel Strip,2497,2378,119,27,Quality Inspection,94.1,4.77,2259,119,0.45,December,4,50,Wednesday,Medium
PRD00021,2025-10-21,Slitting Line,A,MC005,OP021,GI Sheet,1698,1654,44,54,Mechanical Failure,95.0,2.59,1610,44,0.9,October,4,43,Tuesday,Medium
PRD00022,2025-07-11,Slitting Line,A,MC011,OP005,Steel Plate,1338,1289,49,15,Quality Inspection,99.0,3.66,1240,49,0.25,July,3,28,Friday,High
PRD00023,2025-10-04,Rolling Line,A,MC006,OP021,HR Sheet,1086,1056,30,103,Material Shortage,99.0,2.76,1026,30,1.72,October,4,40,Saturday,High
PRD00024,2025-06-10,Pickling Line,C,MC009,OP025,HR Coil,1822,1783,39,37,Tool Change,88.6,2.14,1744,39,0.62,June,2,24,Tuesday,Low
PRD00025,2025-11-10,Slitting Line,A,MC012,OP017,GI Sheet,1500,1449,51,41,Scheduled Maintenance,96.2,3.4,1398,51,0.68,November,4,46,Monday,High
PRD00026,2025-01-22,Cut-To-Length Line,A,MC004,OP008,HR Coil,1991,1948,43,71,Material Shortage,96.1,2.16,1905,43,1.18,January,1,4,Wednesday,High
PRD00027,2025-09-10,Rolling Line,C,MC018,OP023,CR Sheet,2131,2079,52,78,Mechanical Failure,93.2,2.44,2027,52,1.3,September,3,37,Wednesday,Medium
PRD00028,2025-08-24,Rolling Line,C,MC015,OP030,GP Coil,1862,1827,35,44,Power Failure,93.8,1.88,1792,35,0.73,August,3,34,Sunday,Medium
PRD00029,2025-12-11,Rolling Line,C,MC004,OP001,GP Coil,1202,1174,28,113,Mechanical Failure,94.4,2.33,1146,28,1.88,December,4,50,Thursday,Medium
PRD00030,2025-02-18,Slitting Line,A,MC014,OP002,GI Sheet,2086,2030,56,26,Scheduled Maintenance,96.1,2.68,1974,56,0.43,February,1,8,Tuesday,High
PRD00031,2025-02-28,Finishing Line,B,MC018,OP001,HR Sheet,2120,2033,87,16,Power Failure,95.2,4.1,1946,87,0.27,February,1,9,Friday,High
PRD00032,2025-06-19,Finishing Line,A,MC017,OP020,CR Sheet,701,684,17,31,Scheduled Maintenance,98.2,2.43,667,17,0.52,June,2,25,Thursday,High
PRD00033,2025-07-07,Slitting Line,A,MC002,OP028,GP Coil,1782,1750,32,27,Tool Change,99.0,1.8,1718,32,0.45,July,3,28,Monday,High
PRD00034,2025-09-28,Pickling Line,A,MC019,OP026,Steel Strip,1628,1575,53,86,Quality Inspection,94.7,3.26,1522,53,1.43,September,3,39,Sunday,Medium
