Production_ID,Date,Production_Line,Shift,Machine_ID,Operator_ID,Product,Planned_Qty,Produced_Qty,Scrap_Qty,Downtime_Minutes,Downtime_Reason,Efficiency_Percent,Scrap_Rate_Percent
PRD00001,2025-04-13,Rolling Line,B,MC015,OP013,GP Coil,685,671,14,55,Scheduled Maintenance,93.4,2.04
PRD00002,2025-12-15,Cut-to-Length Line,C,MC006,OP009,CR Sheet,501,488,13,0,Scheduled Maintenance,92.0,2.59
PRD00003,2025-09-28,Pickling Line,C,MC007,OP010,HR Coil,1903,1829,74,61,Material Shortage,92.0,3.89
PRD00004,2025-04-17,Cut-to-Length Line,A,MC004,OP001,HR Sheet,1872,1793,79,84,Quality Inspection,98.4,4.22
PRD00005,2025-03-13,Finishing Line,C,MC004,OP006,GI Sheet,1924,1867,57,54,Mechanical Failure,91.6,2.96
PRD00006,2025-07-08,Slitting Line,C,MC001,OP030,HR Coil,1925,1887,38,52,Material Shortage,91.9,1.97
PRD00007,2025-01-21,Pickling Line,A,MC011,OP006,Steel Plate,1514,1427,87,54,Tool Change,91.8,5.75
PRD00008,2025-04-13,Pickling Line,C,MC005,OP002,GI Sheet,943,920,23,55,Power Failure,92.1,2.44
PRD00009,2025-05-02,Finishing Line,A,MC002,OP026,HR Sheet,1409,1351,58,11,Scheduled Maintenance,95.3,4.12
PRD00010,2025-08-03,Finishing Line,A,MC005,OP016,HR Sheet,845,822,23,16,Quality Inspection,99.0,2.72
PRD00011,2025-11-27,Finishing Line,B,MC005,OP025,HR Coil,951,939,12,14,Quality Inspection,93.6,1.26
PRD00012,2025-03-29,Slitting Line,C,MC020,OP005,HR Coil,1785,1759,26,27,Quality Inspection,89.0,1.46
PRD00013,2025-04-10,Cut-to-Length Line,A,MC013,OP014,Steel Strip,899,857,42,64,Scheduled Maintenance,96.1,4.67
PRD00014,2025-12-26,Slitting Line,C,MC012,OP016,GP Coil,2376,2341,35,63,Material Shortage,91.9,1.47
PRD00015,2025-06-01,Rolling Line,B,MC010,OP009,GI Sheet,926,889,37,22,Tool Change,99.0,4.0
PRD00016,2025-05-11,Finishing Line,C,MC013,OP011,CR Coil,674,660,14,20,Scheduled Maintenance,91.4,2.08
PRD00017,2025-05-30,Rolling Line,C,MC009,OP016,HR Sheet,1723,1697,26,106,Scheduled Maintenance,89.9,1.51
PRD00018,2025-11-05,Finishing Line,C,MC005,OP020,CR Sheet,1914,1852,62,24,Material Shortage,95.2,3.24
PRD00019,2025-09-15,Rolling Line,C,MC006,OP012,HR Sheet,1262,1228,34,97,Mechanical Failure,88.6,2.69
PRD00020,2025-12-10,Finishing Line,C,MC017,OP015,Steel Strip,2497,2378,119,27,Quality Inspection,94.1,4.77
PRD00021,2025-10-21,Slitting Line,A,MC005,OP021,GI Sheet,1698,1654,44,54,Mechanical Failure,95.0,2.59
PRD00022,2025-07-11,Slitting Line,A,MC011,OP005,Steel Plate,1338,1289,49,15,Quality Inspection,99.0,3.66
PRD00023,2025-10-04,Rolling Line,A,MC006,OP021,HR Sheet,1086,1056,30,103,Material Shortage,99.0,2.76
PRD00024,2025-06-10,Pickling Line,C,MC009,OP025,HR Coil,1822,1783,39,37,Tool Change,88.6,2.14
PRD00025,2025-11-10,Slitting Line,A,MC012,OP017,GI Sheet,1500,1449,51,41,Scheduled Maintenance,96.2,3.4
PRD00026,2025-01-22,Cut-to-Length Line,A,MC004,OP008,HR Coil,1991,1948,43,71,Material Shortage,96.1,2.16
PRD00027,2025-09-10,Rolling Line,C,MC018,OP023,CR Sheet,2131,2079,52,78,Mechanical Failure,93.2,2.44
PRD00028,2025-08-24,Rolling Line,C,MC015,OP030,GP Coil,1862,1827,35,44,Power Failure,93.8,1.88
PRD00029,2025-12-11,Rolling Line,C,MC004,OP001,GP Coil,1202,1174,28,113,Mechanical Failure,94.4,2.33
PRD00030,2025-02-18,Slitting Line,A,MC014,OP002,GI Sheet,2086,2030,56,26,Scheduled Maintenance,96.1,2.68
PRD00031,2025-02-28,Finishing Line,B,MC018,OP001,HR Sheet,2120,2033,87,16,Power Failure,95.2,4.1
PRD00032,2025-06-19,Finishing Line,A,MC017,OP020,CR Sheet,701,684,17,31,Scheduled Maintenance,98.2,2.43
PRD00033,2025-07-07,Slitting Line,A,MC002,OP028,GP Coil,1782,1750,32,27,Tool Change,99.0,1.8
PRD00034,2025-09-28,Pickling Line,A,MC019,OP026,Steel Strip,1628,1575,53,86,Quality Inspection,94.7,3.26
PRD00035,2025-07-09,Cut-to-Length Line,B,MC014,OP009,HR Coil,2019,1942,77,40,Tool Change,96.6,3.81
PRD00036,2025-06-24,Slitting Line,A,MC004,OP001,Steel Plate,673,641,32,34,Scheduled Maintenance,93.5,4.75
PRD00037,2025-02-20,Slitting Line,B,MC002,OP003,Steel Strip,1764,1707,57,49,Quality Inspection,99.0,3.23
PRD00038,2025-12-30,Pickling Line,B,MC013,OP016,GI Sheet,594,576,18,16,Scheduled Maintenance,96.2,3.03
PRD00039,2025-02-24,Rolling Line,A,MC007,OP011,CR Sheet,2201,2088,113,29,Quality Inspection,91.5,5.13
PRD00040,2025-09-01,Rolling Line,C,MC008,OP007,Steel Plate,1626,1554,72,150,Material Shortage,91.6,4.43
PRD00041,2025-11-16,Rolling Line,C,MC010,OP020,CR Sheet,1652,1600,52,85,Scheduled Maintenance,90.3,3.15
PRD00042,2025-05-11,Cut-to-Length Line,C,MC003,OP013,GP Coil,584,575,9,83,Mechanical Failure,93.6,1.54
PRD00043,2025-11-03,Rolling Line,B,MC004,OP006,GP Coil,769,755,14,107,Tool Change,97.7,1.82
PRD00044,2025-05-15,Rolling Line,C,MC006,OP023,HR Sheet,1759,1710,49,85,Tool Change,90.6,2.79
PRD00045,2025-01-21,Slitting Line,C,MC020,OP012,HR Coil,1049,1032,17,43,Quality Inspection,94.1,1.62
